id,feedback,number_positive,positive_sentiment,number_negative,negative_sentiment,annotation,intention,total_lenght,negative_lengt,severity,similarity_score,total_score
33,"Is it possible that you have ""twisted numbers"" in the calculation of the power consumption for a 2-person household? On the website of the power-saving initiative the average power consumption of 3200 kWh is listed. In your graphics is it 2300 kWh? 
Best wishes",1,0.4,2,-0.4,"<Participant name=""""><Sentence id=""96""><Question freq=""4"">Is it possible that you have twisted numbers in the calculation of the power consumption for a 2 person household?</Question></Sentence><Sentence id=""98""><NEG_opinion freq=""1"">On the website of the power saving initiative the average power consumption of 3200 kWh is listed.</NEG_opinion><POS_opinion freq=""2"">On the website of the power saving initiative the average power consumption of 3200 kWh is listed.</POS_opinion></Sentence><Sentence id=""100""><Question freq=""1"">In your graphics is it 2300 kWh?</Question></Sentence><Sentence id=""102""><Informative freq=""1"">Best wishes</Informative></Sentence></Participant>",0.13,261,130,0.49808429118773945,0.2222222222222222,0.3173520647083865
56,"Dear Ladies and Gentlemen,
just I registered on your energy saving account, but received no confirmation email.
I ask for verification.
Best regards",0,0.0,1,-0.4,"<Participant name=""""><Sentence id=""49""><POS_opinion freq=""3"">Dear Ladies and Gentlemen just I registered on your energy saving account but received no confirmation email.</POS_opinion></Sentence><Sentence id=""51""><Requestive freq=""2"">I ask for verification.</Requestive></Sentence><Sentence id=""53""><Informative freq=""1"">Best regards</Informative></Sentence></Participant>",0.94,148,109,0.7364864864864865,0.29411764705882354,0.6107313195548489
78,"Despite I entered my separate monthly consumption, there is no consumption shown in the monthly statistics for August 2015. Why is that so?",0,0.0,1,-0.4,"<Participant name=""""><Sentence id=""49""><NEG_opinion freq=""1"">Despite I entered my separate monthly consumption there is no consumption shown in the monthly statistics for August 2015.</NEG_opinion></Sentence><Sentence id=""51""><Question freq=""1"">Why is that so?</Question></Sentence></Participant>",0.13,139,122,0.8776978417266187,0.2857142857142857,0.4021993833504625
37,"Good morning. Yesterday, I changed my email address. Now I can not find my data anymore. Best Regards",2,0.4,2,-0.4,"<Participant name=""""><Sentence id=""40""><Informative freq=""1"">Good morning.</Informative></Sentence><Sentence id=""42""><POS_opinion freq=""2"">Yesterday I changed my email address.</POS_opinion></Sentence><Sentence id=""44""><NEG_opinion freq=""1"">Now I can not find my data anymore.</NEG_opinion><Assertive freq=""1"">Now I can not find my data anymore.</Assertive></Sentence><Sentence id=""46""><Informative freq=""1"">Best Regards</Informative></Sentence></Participant>",0.76,101,72,0.7128712871287128,0.05555555555555555,0.12627062706270628
39,"Hello,
i'm new here and registred just now.
Already at the first page, while creating the secion strom, i have a problem :
after i entered my data and click on continue, a page filled with ""salad"" follows, only text, lot of slashes, shortings etc..
obviously not readable for my computer?
What do i have to do?
Best regards.",1,0.4,3,-0.4000000000000001,"<Participant name=""""><Sentence id=""125""><Informative freq=""1"">Hello I am new here and registred just now.</Informative></Sentence><Sentence id=""127""><Descriptive freq=""1"">Already at the first page while creating the secion strom i have a problem after i entered my data and click on continue a page filled with salad follows only text lot of slashes shortings etc.. obviously not readable for my computer?</Descriptive><Assertive freq=""1"">Already at the first page while creating the secion strom i have a problem after i entered my data and click on continue a page filled with salad follows only text lot of slashes shortings etc.. obviously not readable for my computer?</Assertive><POS_opinion freq=""5"">Already at the first page while creating the secion strom i have a problem after i entered my data and click on continue a page filled with salad follows only text lot of slashes shortings etc.. obviously not readable for my computer?</POS_opinion></Sentence><Sentence id=""129""><Question freq=""2"">What do i have to do? Best regards.</Question></Sentence></Participant>",0.35000000000000003,324,276,0.8518518518518519,0.1,0.20018518518518522
180,"On the subject of photovoltaics: As you know I run two PV systems on the roof of my private house. You can look at my records (last from today 31 March). The total monthly injections does not correspond to your chosen method of presentation in green and open bars. Please recheck your method of totaling the income of both separately measured systems. 
Regards",0,0.0,2,-0.4,"<Participant name=""""><Sentence id=""132""><NEG_opinion freq=""2"">On the subject of photovoltaics: As you know I run two PV systems on the roof of my private house.</NEG_opinion></Sentence><Sentence id=""134""><NEG_opinion freq=""1"">You can look at my records last from today 31 March.</NEG_opinion></Sentence><Sentence id=""136""><NEG_opinion freq=""3"">The total monthly injections does not correspond to your chosen method of presentation in green and open bars.</NEG_opinion></Sentence><Sentence id=""138""><POS_opinion freq=""2"">Please recheck your method of totaling the income of both separately measured systems.</POS_opinion></Sentence><Sentence id=""140""><Informative freq=""1"">Regards</Informative></Sentence></Participant>",0.0,360,208,0.5777777777777777,0.08695652173913043,0.08502415458937197
284,"Good day!
Ich created this account few years ago, because it was my first time with floor heating.
Meanwhile i got used to it so much, that i dont want to muss this site any more and recommend it diligent further.",2,0.4,1,-0.4,"<Participant name=""""><Sentence id=""88""><POS_opinion freq=""1"">Good day! Ich created this account few years ago because it was my first time with floor heating.</POS_opinion></Sentence><Sentence id=""90""><NEG_opinion freq=""2"">Meanwhile i got used to it so much that i do not want to muss this site any more and recommend it diligent further.</NEG_opinion><Assertive freq=""1"">Meanwhile i got used to it so much that i do not want to muss this site any more and recommend it diligent further.</Assertive><POS_opinion freq=""1"">Meanwhile i got used to it so much that i do not want to muss this site any more and recommend it diligent further.</POS_opinion></Sentence></Participant>",0.76,213,115,0.539906103286385,0.08695652173913043,0.1826005307205552
163,"Good day.
I could be quite satisfied with your site.
But your calculations are wrong!
Water : last reading entry 281 cbm, new reading entry 289, consumption 9cbm?
Thats not possible, we learned it in primary school!

To what relate your average consumptions and costs?
I cant put in relation.

Thank you very much for your answer",2,0.4,3,-0.4000000000000001,"<Participant name=""""><Sentence id=""121""><Informative freq=""1"">Good day.</Informative></Sentence><Sentence id=""123""><POS_opinion freq=""2"">I could be quite satisfied with your site.</POS_opinion></Sentence><Sentence id=""125""><NEG_opinion freq=""1"">But your calculations are wrong!</NEG_opinion></Sentence><Sentence id=""127""><NEG_opinion freq=""1"">Water last reading entry 281 cbm new reading entry 289 consumption 9cbm?</NEG_opinion></Sentence><Sentence id=""129""><POS_opinion freq=""4"">Thats not possible we learned it in primary school!</POS_opinion></Sentence><Sentence id=""131""><NEG_opinion freq=""1"">To what relate your average consumptions and costs?</NEG_opinion></Sentence><Sentence id=""133""><Informative freq=""1"">I cant put in relation.</Informative></Sentence><Sentence id=""135""><POS_opinion freq=""2"">Thank you very much for your answer</POS_opinion><Thank freq=""1"">Thank you very much for your answer</Thank></Sentence></Participant>",0.0,329,127,0.3860182370820669,0.21739130434782608,0.2578300515395798
125,"Hello,
despite the data input in the heating section, no data is shown for August 2015. Everything already tried. What could be the problem?
Best regards",0,0.0,1,-0.4,"<Participant name=""""><Sentence id=""56""><Informative freq=""1"">Hello despite the data input in the heating section no data is shown for August 2015.</Informative></Sentence><Sentence id=""58""><Informative freq=""1"">Everything already tried.</Informative></Sentence><Sentence id=""60""><NEG_opinion freq=""2"">What could be the problem?</NEG_opinion></Sentence><Sentence id=""62""><Informative freq=""1"">Best regards</Informative></Sentence></Participant>",0.0,153,85,0.5555555555555556,0.05555555555555555,0.05308641975308642
103,"Hello,
per so is iESA a good thing, however it is unripe.
Sadly i cant do evaluations with my electricity heating system, since its not possible to display multiple charge meters separated.
I wait for half a year already, til it start to work, but seemingly only i have this problem.
Maybe you can help me.
Regards",0,0.0,3,-0.4000000000000001,"<Participant name=""""><Sentence id=""119""><NEG_opinion freq=""1"">Hello per so is iESA a good thing however it is unripe.</NEG_opinion><POS_opinion freq=""2"">Hello per so is iESA a good thing however it is unripe.</POS_opinion></Sentence><Sentence id=""121""><NEG_opinion freq=""1"">Sadly i cant do evaluations with my electricity heating system since its not possible to display multiple charge meters separated.</NEG_opinion><POS_opinion freq=""2"">Sadly i cant do evaluations with my electricity heating system since its not possible to display multiple charge meters separated.</POS_opinion></Sentence><Sentence id=""123""><NEG_opinion freq=""1"">I wait for half a year already til it start to work but seemingly only i have this problem.</NEG_opinion><Assertive freq=""1"">I wait for half a year already til it start to work but seemingly only i have this problem.</Assertive></Sentence><Sentence id=""125""><Requestive freq=""1"">Maybe you can help me.</Requestive><Suppositive freq=""1"">Maybe you can help me.</Suppositive></Sentence><Sentence id=""127""><Informative freq=""1"">Regards</Informative></Sentence></Participant>",0.82,314,276,0.8789808917197452,0.06896551724137931,0.1447573028772238
246,"Dear Ladies and Gentlemen
I wish to inform you that I have a new email address.

old e-mail: xxxxxxxxxxxxx
new e-mail: yyyyyyyyyyyyy

Can my data be transferred to the new email address?
Best regards",1,0.4,1,-0.4,"<Participant name=""""><Sentence id=""77""><Requirement freq=""1"">Dear Ladies and Gentlemen I wish to inform you that I have a new email address.</Requirement><Assertive freq=""1"">Dear Ladies and Gentlemen I wish to inform you that I have a new email address.</Assertive></Sentence><Sentence id=""79""><POS_opinion freq=""2"">old e mail: xxxxxxxxxxxxx new e mail: yyyyyyyyyyyyy Can my data be transferred to the new email address?</POS_opinion></Sentence><Sentence id=""81""><Informative freq=""1"">Best regards</Informative></Sentence></Participant>",0.88,199,104,0.5226130653266332,0.05263157894736842,0.11592700343824386
104,"Hello,
i would like to report calculation error. The months 01-03/2016 in heating section are wrong. 
In the graphic is shown that the sum of this 3 months is 3760 kWh, but if i sum up the values, i get about 2000 kWh in same period of time.",0,0.0,3,-0.4000000000000001,"<Participant name=""""><Sentence id=""104""><Requirement freq=""1"">Hello i would like to report calculation error.</Requirement></Sentence><Sentence id=""106""><NEG_opinion freq=""1"">The months 01 03/2016 in heating section are wrong.</NEG_opinion></Sentence><Sentence id=""108""><NEG_opinion freq=""1"">In the graphic is shown that the sum of this 3 months is 3760 kWh but if i sum up the values i get about 2000 kWh in same period of time.</NEG_opinion><Assertive freq=""1"">In the graphic is shown that the sum of this 3 months is 3760 kWh but if i sum up the values i get about 2000 kWh in same period of time.</Assertive><POS_opinion freq=""2"">In the graphic is shown that the sum of this 3 months is 3760 kWh but if i sum up the values i get about 2000 kWh in same period of time.</POS_opinion></Sentence></Participant>",0.88,241,235,0.975103734439834,0.08695652173913043,0.19609597690781164
6,"Hello 
I was about to set up a new vehicle. But for the fuel selection there is no option for electricity. It should have got around in an energy-saving portal, that there are also electric cars out there? Will the Fuel ""electric"" be offered in the future?",1,0.4,1,-0.4,"<Participant name=""""><Sentence id=""101""><POS_opinion freq=""3"">Hello I was about to set up a new vehicle.</POS_opinion></Sentence><Sentence id=""103""><Informative freq=""1"">But for the fuel selection there is no option for electricity.</Informative></Sentence><Sentence id=""105""><POS_opinion freq=""2"">It should have got around in an energy saving portal that there are also electric cars out there?</POS_opinion></Sentence><Sentence id=""107""><Question freq=""2"">Will the Fuel electric be offered in the future?</Question></Sentence></Participant>",0.13,256,62,0.2421875,0.17647058823529413,0.20685661764705887
227,"Hello, 
I had created two electricity meters; for the house and the apartment. When entering the last year's consumption figures, I have found out that the meter data are added together. How can I prevent this?",1,0.4,1,-0.4,"<Participant name=""""><Sentence id=""80""><Assertive freq=""1"">Hello I had created two electricity meters; for the house and the apartment.</Assertive></Sentence><Sentence id=""82""><NEG_opinion freq=""1"">When entering the last year's consumption figures I have found out that the meter data are added together.</NEG_opinion><Descriptive freq=""2"">When entering the last year's consumption figures I have found out that the meter data are added together.</Descriptive><Assertive freq=""1"">When entering the last year's consumption figures I have found out that the meter data are added together.</Assertive><POS_opinion freq=""2"">When entering the last year's consumption figures I have found out that the meter data are added together.</POS_opinion></Sentence><Sentence id=""84""><Question freq=""1"">How can I prevent this?</Question></Sentence></Participant>",0.4525,210,76,0.3619047619047619,0.14285714285714285,0.23062925170068027
249,"Hello, 
in the configuration of my household stands that I am the owner, but I am a tenant. How can I change this? The field is gray and cannot be clicked. 
Thanks and best regards",1,0.4,2,-0.4,"<Participant name=""""><Sentence id=""76""><Informative freq=""1"">Hello in the configuration of my household stands that I am the owner but I am a tenant.</Informative></Sentence><Sentence id=""78""><Question freq=""1"">How can I change this?</Question></Sentence><Sentence id=""80""><NEG_opinion freq=""1"">The field is gray and can not be clicked.</NEG_opinion></Sentence><Sentence id=""82""><POS_opinion freq=""1"">Thanks and best regards</POS_opinion><Thank freq=""1"">Thanks and best regards</Thank></Sentence></Participant>",0.13,180,129,0.7166666666666667,0.07142857142857142,0.11761904761904762
7,"Dear energy saving team!
For me there is something wrong in the section of fuel consumption. Have entered to 08.12.15 all fuel invoices. Nevertheless, the fuel consumption and the distance traveled for November will be given partly estimated. Why is that so?
Best regards",2,0.4,1,-0.4,"<Participant name=""""><Sentence id=""98""><POS_opinion freq=""2"">Dear energy saving team!</POS_opinion></Sentence><Sentence id=""100""><NEG_opinion freq=""2"">For me there is something wrong in the section of fuel consumption.</NEG_opinion></Sentence><Sentence id=""102""><Informative freq=""1"">Have entered to 08.12.15 all fuel invoices.</Informative></Sentence><Sentence id=""104""><POS_opinion freq=""1"">Nevertheless the fuel consumption and the distance traveled for November will be given partly estimated.</POS_opinion></Sentence><Sentence id=""106""><Question freq=""1"">Why is that so?</Question></Sentence><Sentence id=""108""><Informative freq=""1"">Best regards</Informative></Sentence></Participant>",0.13,271,67,0.24723247232472326,0.3333333333333333,0.39241082410824113
80,"Hello,
You have mailed me a wrong energy savings account. My current data are already entered to September 2015, I can see entries only until 2014. Please email me the current account.
Best regards",0,0.0,2,-0.4,"<Participant name=""""><Sentence id=""72""><NEG_opinion freq=""2"">Hello You have mailed me a wrong energy savings account.</NEG_opinion></Sentence><Sentence id=""74""><Assertive freq=""1"">My current data are already entered to September 2015 I can see entries only until 2014.</Assertive></Sentence><Sentence id=""76""><Informative freq=""1"">Please email me the current account.</Informative></Sentence><Sentence id=""78""><Informative freq=""1"">Best regards</Informative></Sentence></Participant>",0.76,197,144,0.7309644670050761,0.19047619047619047,0.3601837080009669
108,"concerns: energy savings account for a school
We have entered the consumption data for the natural gas. we have also an additional pellet heating system since 2010. How can we enter data for this? Under ""Help"" it will be explained, but we we can not proceed so because the item ""pellet"" is not listed under ""Add device"".
Requests for response. thank you",0,0.0,2,-0.4,"<Participant name=""""><Sentence id=""131""><NEG_opinion freq=""1"">Concerns: energy savings account for a school We have entered the consumption data for the natural gas.</NEG_opinion></Sentence><Sentence id=""133""><Informative freq=""1"">we have also an additional pellet heating system since 2010.</Informative></Sentence><Sentence id=""135""><Question freq=""1"">How can we enter data for this?</Question></Sentence><Sentence id=""137""><NEG_opinion freq=""3"">Under Help it will be explained but we we can not proceed so because the item pellet is not listed under Add device.</NEG_opinion></Sentence><Sentence id=""139""><Informative freq=""1"">Requests for response.</Informative></Sentence><Sentence id=""141""><Thank freq=""1"">thank you</Thank></Sentence></Participant>",0.13,353,219,0.6203966005665722,0.20588235294117646,0.2368463589401766
63,Please delete my account so I can create a new one. I have accidentally given the information that I am tenants and in this mode it is not possible to enter meter readings. Thank you very much,2,0.4,1,-0.4,"<Participant name=""""><Sentence id=""77""><Suggestive freq=""1"">Please delete my account so I can create a new one.</Suggestive><NEG_opinion freq=""1"">Please delete my account so I can create a new one.</NEG_opinion><Assertive freq=""1"">Please delete my account so I can create a new one.</Assertive></Sentence><Sentence id=""79""><NEG_opinion freq=""3"">I have accidentally given the information that I am tenants and in this mode it is not possible to enter meter readings.</NEG_opinion><Assertive freq=""1"">I have accidentally given the information that I am tenants and in this mode it is not possible to enter meter readings.</Assertive></Sentence><Sentence id=""81""><POS_opinion freq=""2"">Thank you very much</POS_opinion><Thank freq=""1"">Thank you very much</Thank></Sentence></Participant>",0.7799999999999999,192,120,0.625,0.1111111111111111,0.245
86,The calculations are incorrect. For electricity and heating the total consumption does not appear.,0,0.0,1,-0.4,"<Participant name=""""><Sentence id=""31""><NEG_opinion freq=""1"">The calculations are incorrect.</NEG_opinion></Sentence><Sentence id=""33""><NEG_opinion freq=""1"">For electricity and heating the total consumption does not appear.</NEG_opinion></Sentence></Participant>",0.0,98,66,0.673469387755102,0.2222222222222222,0.2385487528344671
